name,sum,count
"Белорусско-российское совместное закрытое акционерное общество ""БЕЛТРАНСЭКСПЕДИЦИЯ""                                                                                                                                                                            ",30783226.47,72
"Товарищество с ограниченной ответственностью ""ТЕХНОБЕЛ""                                                                                                                                                                                                        ",10261075.49,24
"Открытое акционерное общество ""Белмагистральавтотранс""                                                                                                                                                                                                         ",20522150.98,48
"ООО ""АПАВЕН АВТОТРАНС""                                                                                                                                                                                                                                         ",10261075.49,24
"Частное производственное унитарное предприятие ""Белстиль""                                                                                                                                                                                                      ",20522150.98,48
"Общество с ограниченной ответственностью ""ДФДС-транс""                                                                                                                                                                                                          ",20522150.98,48
"ООО ""ВЛ Экспресс""                                                                                                                                                                                                                                              ",1.96921653533e+11,33
"ООО ""Сириус""                                                                                                                                                                                                                                                   ",2670250.0,11
"Общество с ограниченной ответственностью ""ОП НИИ ПКД""                                                                                                                                                                                                          ",51305377.45,120
"Иностранное частное транспортно-торговое унитарное предприятие ""Квенбергер Логистикс БЛР""                                                                                                                                                                      ",10261075.49,24
"Открытое акционерное общество ""БелГрузМагистраль""                                                                                                                                                                                                              ",30783226.47,72
"Товарищество с ограниченной ответственностью ""Фендин Логистик Алматы""                                                                                                                                                                                          ",10261075.49,24
"Общество с ограниченной ответственностью ""Белинтертранс""                                                                                                                                                                                                       ",51305377.45,120
"Иностранное частное унитарное транспортно-экспедиторское предприятие фирмы ""Асстра Ассошиэйтед Траффик АГ"" ""БТЛ-Белтранслайн""                                                                                                                                  ",10261075.49,24
"ООО ""ГУШ ТРАНС""                                                                                                                                                                                                                                                ",10261075.49,24
"Совместное общество с ограниченной ответственностью ""БелАМРО""                                                                                                                                                                                                  ",30783226.47,72
"Общество с ограниченной ответственностью ""Буг Транс Континенталь""                                                                                                                                                                                              ",10261075.49,24
"Совместное общество с ограниченной ответственностью ""СКВТрансКомпани""                                                                                                                                                                                          ",10261075.49,24
"Общество с ограниченной ответственностью ""ПРИРОДА-ООО""                                                                                                                                                                                                         ",10261075.49,24
"Общество с ограниченной ответственностью  ""Вельц Брест""                                                                                                                                                                                                        ",20522150.98,48
"Товарищество с ограниченной ответственностью ""СAТ ТРАНС""                                                                                                                                                                                                       ",10261075.49,24
"Закрытое акционерное общество ""Автокомбинат N3""                                                                                                                                                                                                                ",20522150.98,48
"Общество с ограниченной ответственностью ""Омега""                                                                                                                                                                                                               ",20522150.98,48
